"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"AL","ALABAMA","0100033","Glenwood Mental Health Service","01843","Glenwood Inc","010003301843","-8","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100035","The Little Tree Preschool Auburn","02370","Woodys Song","010003502370","-8","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"AL","ALABAMA","0100037","BayPointe Residential Services","01848","BayPointe ResidentialAltaPointe Health Systems","010003701848","-8","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100060","Andalusia City","01467","Andalusia Elementary School","010006001467","No","DD",0,0,2,1,0,0,0,0,0,1,0,0,0,0,4,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100090","Anniston City","00017","Golden Springs Elementary School","010009000017","No","DD",0,0,1,0,0,0,0,0,0,2,1,0,0,0,4,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
"AL","ALABAMA","0100090","Anniston City","00021","Tenth Street Elementary School","010009000021","No","DD",0,0,2,0,0,0,1,0,0,1,0,0,0,0,4,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100100","Arab City","00025","Arab Primary School","010010000025","No","DD",0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100120","Athens City","01471","Athens Elementary School","010012001471","No","DD",1,0,2,1,0,0,1,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100120","Athens City","01758","Brookhill Elementary School","010012001758","No","DD",0,0,0,1,0,0,3,0,0,0,0,0,0,1,5,1,3,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100180","Attalla City","00035","Attalla Elementary School","010018000035","No","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0100185","Saraland City","00952","Saraland Elementary School","010018500952","No","DD",0,0,1,1,0,0,4,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100185","Saraland City","02427","Saraland Early Education Center","010018502427","No","DD",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100188","Chickasaw City","02193","Chickasaw City Elementary School","010018802193","No","DD",0,0,2,0,0,0,1,0,0,0,1,0,0,2,6,0,3,0,3,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0
"AL","ALABAMA","0100189","Satsuma City","02196","Robert E Lee Elementary","010018902196","No","DD",0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100190","Alabaster City","01460","Meadow View  Elementary School","010019001460","No","DD",0,0,6,2,2,0,7,0,0,1,1,0,0,1,20,2,15,1,2,0,0,0,4,1,11,0,1,0,0,0,1,0,2,0,0
"AL","ALABAMA","0100190","Alabaster City","01815","Creek View Elementary School","010019001815","No","DD",0,0,2,1,0,0,6,0,0,1,0,0,0,3,13,0,9,0,4,0,0,0,0,1,8,0,0,0,0,0,0,1,3,0,0
"AL","ALABAMA","0100194","Pelham City","02395","Pelham Oaks","010019402395","No","DD",0,1,2,3,2,0,2,0,0,0,1,0,0,0,11,3,7,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100194","Pelham City","02396","Pelham Ridge","010019402396","No","DD",0,0,2,0,0,0,4,0,0,0,3,0,0,2,11,0,6,2,3,0,0,0,0,1,4,0,1,0,0,0,1,2,2,0,0
"AL","ALABAMA","0100195","Pike Road City","02407","Pike Road Elementary School","010019502407","No","DD",0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0100210","Auburn City","00039","Cary Woods Elementary School","010021000039","No","DD",0,1,4,0,0,0,4,0,1,2,0,0,0,3,15,1,8,1,5,0,0,0,0,8,1,0,0,0,0,0,0,4,2,0,0
"AL","ALABAMA","0100210","Auburn City","00040","Dean Road Elementary School","010021000040","No","DD",0,0,5,1,0,0,1,0,1,1,0,0,0,1,10,0,7,0,3,0,0,0,0,1,6,0,0,0,0,0,0,2,1,0,0
"AL","ALABAMA","0100210","Auburn City","00053","Auburn Early Education Center","010021000053","No","DD",0,0,4,2,0,0,2,0,0,5,1,0,0,0,14,2,6,1,5,0,0,0,0,6,2,0,0,0,0,0,0,4,2,0,0
