"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"OR","OREGON","4107020","Klamath County SD","00498","Henley Elementary School","410702000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4107020","Klamath County SD","00504","Stearns Elementary School","410702000000","No","OI",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4107080","Klamath Falls City Schools","00483","Joseph Conger Elementary School","410708000000","No","OI",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4107080","Klamath Falls City Schools","00485","Mills Elementary School","410708000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4107200","La Grande SD 1","01125","Central Elementary School","410720000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OR","OREGON","4107200","La Grande SD 1","01128","Island City Elementary School","410720000000","No","OI",0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4107230","Lake Oswego SD 7J","01378","Oak Creek Elementary School","410723000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4107380","Lebanon Community SD 9","00730","Lebanon High School","410738000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OR","OREGON","4107380","Lebanon Community SD 9","04185","Pioneer School","410738000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4107380","Lebanon Community SD 9","04186","Sand Ridge Charter School","410738000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4107500","Lincoln County SD","00660","Sam Case Elementary","410750000000","No","OI",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4107500","Lincoln County SD","00661","Newport Middle School","410750000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4107500","Lincoln County SD","00665","Taft High School","410750000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4107980","McKenzie SD 68","00628","McKenzie Elementary School","410798000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4108010","McMinnville SD 40","00540","Duniway Middle School","410801000000","No","OI",0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"OR","OREGON","4108010","McMinnville SD 40","01279","Columbus Elementary School","410801000000","No","OI",0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"OR","OREGON","4108010","McMinnville SD 40","01281","Memorial Elementary School","410801000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108010","McMinnville SD 40","01283","Patton Middle School","410801000000","No","OI",0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"OR","OREGON","4108010","McMinnville SD 40","01284","McMinnville High School","410801000000","No","OI",0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"OR","OREGON","4108010","McMinnville SD 40","01310","Wascher Elementary School","410801000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OR","OREGON","4108010","McMinnville SD 40","01433","Grandhaven Elementary School","410801000000","No","OI",0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"OR","OREGON","4108040","Medford SD 549C","00432","Jacksonville Elementary School","410804000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OR","OREGON","4108040","Medford SD 549C","00436","Kennedy Elementary School","410804000000","No","OI",0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"OR","OREGON","4108040","Medford SD 549C","00437","Roosevelt Elementary School","410804000000","No","OI",0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4108040","Medford SD 549C","00438","Ruch Elementary School","410804000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108040","Medford SD 549C","00443","McLoughlin Middle School","410804000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4108040","Medford SD 549C","00444","South Medford High School","410804000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108040","Medford SD 549C","04187","Central Medford High School","410804000000","No","OI",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108100","Santiam Canyon SD 129J","01680","Oregon Connections Academy","410810000000","No","OI",0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108160","Milton-Freewater Unified SD 7","01116","Central Middle School","410816000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4108310","Molalla River SD 35","00102","Molalla River Middle School","410831000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108430","Monroe SD 1J","00027","Monroe Grade School","410843000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108520","Morrow SD 1","01311","Sam Boardman Elementary School","410852000000","No","OI",0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108700","Nestucca Valley SD 101J","01077","Nestucca Valley Elementary","410870000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108720","Newberg SD 29J","01269","Dundee Elementary School","410872000000","No","OI",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108720","Newberg SD 29J","01272","Mabel Rush Elementary School","410872000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108720","Newberg SD 29J","01274","Newberg Senior High School","410872000000","No","OI",0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"OR","OREGON","4108720","Newberg SD 29J","01291","Antonia Crater Elementary School","410872000000","No","OI",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108720","Newberg SD 29J","01309","Chehalem Valley Middle School","410872000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108720","Newberg SD 29J","01674","Joan Austin Elementary School","410872000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OR","OREGON","4108820","North Bend SD 13","00221","North Bay Elementary School","410882000000","No","OI",1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"OR","OREGON","4108820","North Bend SD 13","00224","North Bend Middle School","410882000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108820","North Bend SD 13","00225","North Bend Senior High School","410882000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"OR","OREGON","4108830","North Clackamas SD 12","00008","Oregon Trail Elementary School","410883000000","No","OI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OR","OREGON","4108830","North Clackamas SD 12","00076","Happy Valley Elementary School","410883000000","No","OI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
