"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"SC","SOUTH CAROLINA","4502490","Horry 01","01680","Ten Oaks Middle","450249000000","No","TBI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SC","SOUTH CAROLINA","4502520","Jasper 01","01395","Hardeeville Elementary","450252000000","No","TBI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SC","SOUTH CAROLINA","4502550","Kershaw 01","00665","Lugoff-Elgin High","450255000000","No","TBI",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SC","SOUTH CAROLINA","4502550","Kershaw 01","00760","Doby's Mill Elementary","450255000000","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SC","SOUTH CAROLINA","4502550","Kershaw 01","01259","North Central High","450255000000","No","TBI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SC","SOUTH CAROLINA","4502580","Lancaster 01","00680","Kershaw Elementary","450258000000","No","TBI",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SC","SOUTH CAROLINA","4502580","Lancaster 01","00688","Andrew Jackson High","450258000000","No","TBI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SC","SOUTH CAROLINA","4502610","Laurens 55","00693","Ford Elementary","450261000000","No","TBI",0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"SC","SOUTH CAROLINA","4502700","Lexington 01","00582","White Knoll High","450270000000","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SC","SOUTH CAROLINA","4502700","Lexington 01","00583","Pelion Middle","450270000000","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SC","SOUTH CAROLINA","4502700","Lexington 01","00719","Gilbert Elementary","450270000000","No","TBI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SC","SOUTH CAROLINA","4502700","Lexington 01","01269","Red Bank Elementary","450270000000","No","TBI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SC","SOUTH CAROLINA","4502700","Lexington 01","01429","White Knoll Elementary","450270000000","No","TBI",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
