"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"IN","INDIANA","1811340","Tippecanoe School Corp","01824","Dayton Elementary School","181134000000","No","VI",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1811340","Tippecanoe School Corp","01827","Klondike Elementary School","181134000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1811340","Tippecanoe School Corp","01830","McCutcheon High School","181134000000","No","VI",0,0,0,2,0,0,0,0,0,1,0,1,0,0,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
"IN","INDIANA","1811340","Tippecanoe School Corp","01831","Mintonye Elementary School","181134000000","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IN","INDIANA","1811340","Tippecanoe School Corp","01833","Wainwright Middle School","181134000000","No","VI",0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"IN","INDIANA","1811340","Tippecanoe School Corp","01835","William Henry Harrison High School","181134000000","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"IN","INDIANA","1811340","Tippecanoe School Corp","01920","Wea Ridge Middle School","181134000000","No","VI",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1811340","Tippecanoe School Corp","02441","Woodland Elementary School","181134000000","No","VI",0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"IN","INDIANA","1811340","Tippecanoe School Corp","02501","Wyandotte Elementary","181134000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1811370","Tippecanoe Valley School Corp","01836","Akron Elementary School","181137000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
