OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,ShapeSTArea,ShapeSTLength
1,48,029,110100,48029110100,1101,Census Tract,G5020,S,3428908,13720,+29.4261655,-098.4905264,"Census Tract 1101, Bexar County, Texas",3812,3147,2121,303,70,153,4,496,665,630,30,44,34,1,503,3,0,0,12,0,0,1,2,0,0,32,7,0,0,2,0,1,18,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37045958.7832031,25300.4109471761
2,48,029,110300,48029110300,1103,Census Tract,G5020,S,1557586,0,+29.4143199,-098.4808476,"Census Tract 1103, Bexar County, Texas",2401,1709,1097,124,35,35,1,417,692,659,12,15,13,0,598,3,0,0,13,0,0,4,1,0,0,29,4,0,0,5,0,0,13,0,2,4,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16761086.671875,22073.7814466071
3,48,029,110500,48029110500,1105,Census Tract,G5020,S,1149488,105494,+29.4170710,-098.5090798,"Census Tract 1105, Bexar County, Texas",2369,1627,995,160,20,44,0,408,742,729,9,20,4,0,670,3,1,0,15,1,0,4,1,1,0,10,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13504857.9960938,15174.5979760744
4,48,029,110600,48029110600,1106,Census Tract,G5020,S,1976489,11034,+29.4292110,-098.5078374,"Census Tract 1106, Bexar County, Texas",7284,6351,3311,891,52,16,3,2078,933,915,12,12,0,5,864,3,0,1,6,0,0,10,1,1,0,18,3,1,0,5,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21387586.8222656,19517.4533540947
5,48,029,110700,48029110700,1107,Census Tract,G5020,S,1057560,0,+29.4389386,-098.5036913,"Census Tract 1107, Bexar County, Texas",1210,873,501,55,17,7,2,291,337,322,2,10,1,0,298,0,2,1,4,0,0,4,0,0,0,11,1,0,0,1,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11380368.6425781,18864.1114819865
6,48,029,111000,48029111000,1110,Census Tract,G5020,S,1553477,0,+29.4403477,-098.4708688,"Census Tract 1110, Bexar County, Texas",2356,1741,1122,127,39,65,3,385,615,590,14,23,16,0,514,3,8,0,5,0,0,6,0,1,0,19,1,0,0,1,0,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16716841.5742188,22356.6989942301
7,48,029,111100,48029111100,1111,Census Tract,G5020,S,2569809,0,+29.4406247,-098.4880242,"Census Tract 1111, Bexar County, Texas",4099,3331,2447,222,50,147,3,462,768,740,29,47,49,1,592,2,2,0,3,0,0,4,0,5,6,28,5,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27653598.5292969,24820.2730384129
8,48,029,120100,48029120100,1201,Census Tract,G5020,S,13443910,12024,+29.4608965,-098.4383400,"Census Tract 1201, Bexar County, Texas",7464,6679,4235,1215,72,473,53,631,785,711,132,78,117,10,291,16,12,3,19,0,3,3,18,9,0,67,14,8,11,10,0,3,5,8,5,0,0,0,2,0,0,1,0,0,0,0,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144798947.53125,76994.5625901019
9,48,029,120301,48029120301,1203.01,Census Tract,G5020,S,1670890,0,+29.4845510,-098.4624194,"Census Tract 1203.01, Bexar County, Texas",2989,2547,2242,47,11,105,1,141,442,415,16,35,39,1,315,0,2,0,0,0,0,2,3,2,0,25,0,0,0,0,2,0,13,4,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980451.4179688,24089.3903838016
10,48,029,120302,48029120302,1203.02,Census Tract,G5020,S,3083902,0,+29.4818167,-098.4711716,"Census Tract 1203.02, Bexar County, Texas",4371,3798,3572,27,6,63,0,130,573,553,23,54,55,0,406,2,0,0,3,0,0,2,0,4,4,20,1,0,1,3,1,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33185863.7890625,28190.0816230541
11,48,029,120401,48029120401,1204.01,Census Tract,G5020,S,1746390,0,+29.4752163,-098.4394574,"Census Tract 1204.01, Bexar County, Texas",2595,2182,1879,82,22,61,5,133,413,380,16,18,33,0,299,0,1,1,6,0,0,4,2,0,0,25,8,3,0,5,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18792918.4414062,23542.0821107649
12,48,029,120402,48029120402,1204.02,Census Tract,G5020,S,2954937,0,+29.4766443,-098.4510467,"Census Tract 1204.02, Bexar County, Texas",3365,3011,2874,7,11,55,0,64,354,342,9,23,25,0,279,0,1,1,0,0,1,0,0,3,0,9,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31798079.4902344,23305.0449439635
13,48,029,120502,48029120502,1205.02,Census Tract,G5020,S,3308099,0,+29.5045334,-098.4076210,"Census Tract 1205.02, Bexar County, Texas",5395,4325,2026,825,61,164,8,1241,1070,1021,48,51,26,12,838,7,0,2,26,0,0,10,0,0,1,47,10,1,0,15,1,0,15,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,35598587.109375,33260.5876509867
14,48,029,120503,48029120503,1205.03,Census Tract,G5020,S,1462578,0,+29.4902303,-098.4250679,"Census Tract 1205.03, Bexar County, Texas",3351,2672,1381,501,27,140,3,620,679,656,39,32,23,4,524,5,0,1,17,1,0,4,3,2,1,21,2,1,0,3,2,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15738755.4375,16920.4330674461
15,48,029,120504,48029120504,1205.04,Census Tract,G5020,S,4940400,3098,+29.4802095,-098.4092998,"Census Tract 1205.04, Bexar County, Texas",4876,3783,2188,520,71,153,16,835,1093,1058,36,45,12,6,905,6,2,0,24,1,0,16,3,2,0,32,5,0,2,8,2,0,10,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53196946.3125,45128.930720587
16,48,029,120601,48029120601,1206.01,Census Tract,G5020,S,1238166,1750,+29.4904654,-098.4370039,"Census Tract 1206.01, Bexar County, Texas",2719,2175,1330,333,44,97,12,359,544,509,37,38,32,1,379,3,3,0,10,0,0,4,0,1,1,26,4,0,0,5,3,0,9,1,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13342753.3945312,14535.3172833952
17,48,029,120602,48029120602,1206.02,Census Tract,G5020,S,2049219,0,+29.4901762,-098.4507247,"Census Tract 1206.02, Bexar County, Texas",3927,3172,2625,153,26,134,0,234,755,709,41,47,39,2,556,3,6,0,3,4,0,3,1,4,0,42,1,4,0,1,0,0,31,0,2,1,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,22051614.4453125,19035.0531390496
18,48,029,120701,48029120701,1207.01,Census Tract,G5020,S,3419319,0,+29.5128694,-098.4694577,"Census Tract 1207.01, Bexar County, Texas",5622,4222,2979,204,82,201,2,754,1400,1358,39,41,43,1,1192,12,3,1,9,0,0,12,1,0,4,38,1,2,1,5,1,0,22,0,3,2,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36795410.7285156,27583.2222644569
19,48,029,120702,48029120702,1207.02,Census Tract,G5020,S,3415962,52344,+29.5023634,-098.4721164,"Census Tract 1207.02, Bexar County, Texas",4699,3836,3211,171,18,169,5,262,863,828,21,42,64,8,678,3,0,0,7,1,0,1,3,0,0,30,0,1,0,5,0,0,13,3,6,0,2,0,0,0,0,0,0,0,0,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37322482.4277344,26964.3736250436
20,48,029,120800,48029120800,1208,Census Tract,G5020,S,4842036,0,+29.5051740,-098.4462650,"Census Tract 1208, Bexar County, Texas",7074,5895,5225,185,39,151,5,290,1179,1140,26,103,66,1,905,11,2,2,12,0,0,9,0,3,0,30,0,1,0,3,4,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52105281.5820312,27905.8856026608
21,48,029,120901,48029120901,1209.01,Census Tract,G5020,S,1924551,6483,+29.5220154,-098.4373700,"Census Tract 1209.01, Bexar County, Texas",2079,1616,1166,144,19,75,2,210,463,457,11,9,8,5,406,5,0,0,4,0,0,5,0,1,3,5,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20779936.8964844,23290.1403675502
22,48,029,120902,48029120902,1209.02,Census Tract,G5020,S,4684883,16619,+29.5050630,-098.4248500,"Census Tract 1209.02, Bexar County, Texas",6928,5758,3442,1055,64,256,20,921,1170,1120,82,60,30,8,882,11,7,0,21,0,1,5,6,7,0,41,12,3,0,7,0,1,14,0,4,0,0,0,0,0,0,0,0,0,0,0,9,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50592955.0761719,35168.6260299679
23,48,029,121000,48029121000,1210,Census Tract,G5020,S,6640253,33515,+29.5322204,-098.4454653,"Census Tract 1210, Bexar County, Texas",6926,5091,3383,503,69,144,12,980,1835,1761,54,97,53,1,1485,2,7,0,27,2,0,22,2,7,2,70,14,2,0,15,1,0,27,1,3,4,0,0,0,2,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71816717.8417969,39167.2614985591
24,48,029,121110,48029121110,1211.10,Census Tract,G5020,S,4523691,19688,+29.5839096,-098.4146871,"Census Tract 1211.10, Bexar County, Texas",5175,3835,2895,282,33,106,10,509,1340,1266,50,76,63,4,1027,2,1,0,21,2,0,6,5,9,0,73,9,0,1,17,0,1,38,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48891854.4609375,31377.649859517
25,48,029,121111,48029121111,1211.11,Census Tract,G5020,S,3787806,4216,+29.5676254,-098.3987467,"Census Tract 1211.11, Bexar County, Texas",6739,4993,3311,450,68,126,18,1020,1746,1671,60,76,64,2,1413,3,1,1,31,0,0,8,4,3,5,74,10,0,0,14,2,0,33,1,13,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40806335.6074219,33037.7170173396
26,48,029,121112,48029121112,1211.12,Census Tract,G5020,S,4977305,157432,+29.5506479,-098.4207674,"Census Tract 1211.12, Bexar County, Texas",3995,3165,2121,442,38,117,12,435,830,789,46,36,26,5,652,0,3,2,6,0,0,6,5,2,0,38,6,2,0,0,2,0,17,0,7,2,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55255308.0527344,36849.8607015915
27,48,029,121115,48029121115,1211.15,Census Tract,G5020,S,2485544,3273,+29.5755848,-098.4529264,"Census Tract 1211.15, Bexar County, Texas",5100,4067,3420,198,41,102,2,304,1033,989,48,86,50,0,776,1,13,2,3,0,0,4,6,0,0,38,6,9,0,4,0,0,12,0,4,1,0,0,2,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26782417.8085938,22441.8928301439
28,48,029,121116,48029121116,1211.16,Census Tract,G5020,S,3194649,903,+29.5836611,-098.4651552,"Census Tract 1211.16, Bexar County, Texas",4845,3732,2965,183,51,80,7,446,1113,1084,60,80,40,3,855,5,2,1,21,1,0,6,2,8,0,26,6,0,0,5,0,1,11,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34387742.0351562,23677.8152893853
29,48,029,121117,48029121117,1211.17,Census Tract,G5020,S,2436935,17700,+29.5957070,-098.4622931,"Census Tract 1211.17, Bexar County, Texas",4482,3448,2639,272,28,128,17,364,1034,963,34,57,41,13,791,5,5,0,8,0,0,1,6,0,2,65,13,3,0,15,7,0,19,2,6,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26414684.109375,23731.8921572746
30,48,029,121118,48029121118,1211.18,Census Tract,G5020,S,4730571,8263,+29.5964191,-098.4439245,"Census Tract 1211.18, Bexar County, Texas",5688,4577,3484,390,53,188,12,450,1111,1061,53,65,49,4,839,9,3,1,15,0,1,13,5,4,0,46,8,12,0,9,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,50995294.9316406,47732.9781708729
31,48,029,121119,48029121119,1211.19,Census Tract,G5020,S,4319962,51079,+29.5603056,-098.4519095,"Census Tract 1211.19, Bexar County, Texas",5325,4028,2989,311,50,142,10,526,1297,1250,68,81,57,10,987,0,4,1,18,2,0,8,5,9,0,47,1,2,0,11,1,0,22,2,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47037154.0332031,34501.897205231
32,48,029,121120,48029121120,1211.20,Census Tract,G5020,S,4520266,1543,+29.5575482,-098.4372455,"Census Tract 1211.20, Bexar County, Texas",5039,3806,2828,215,71,139,5,548,1233,1185,34,76,44,4,975,4,9,1,24,0,0,6,0,8,0,42,3,9,0,2,2,3,15,3,2,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48659575.1542969,28699.6862922509
33,48,029,121121,48029121121,1211.21,Census Tract,G5020,S,2494233,4829,+29.5889924,-098.4322372,"Census Tract 1211.21, Bexar County, Texas",2843,2254,1964,95,13,58,2,122,589,564,35,52,28,0,431,2,2,0,11,0,0,3,0,0,0,22,0,0,0,4,7,0,5,2,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,26892728.2089844,29124.5997617261
34,48,029,121122,48029121122,1211.22,Census Tract,G5020,S,3104264,0,+29.5751076,-098.4263308,"Census Tract 1211.22, Bexar County, Texas",5165,3892,3140,217,67,113,6,349,1273,1222,13,81,56,0,1030,2,5,0,16,2,0,9,6,2,0,46,3,1,0,3,1,0,34,1,3,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33405326.3105469,25127.8062730281
35,48,029,121123,48029121123,1211.23,Census Tract,G5020,S,2798521,1526,+29.5677653,-098.4725428,"Census Tract 1211.23, Bexar County, Texas",4528,3547,2636,307,59,145,15,385,981,936,35,40,38,0,780,5,3,0,27,0,0,4,0,2,2,44,16,7,0,7,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,30131609.0214844,27463.4249967436
36,48,029,121124,48029121124,1211.24,Census Tract,G5020,S,1377051,0,+29.5675276,-098.4644949,"Census Tract 1211.24, Bexar County, Texas",2664,2105,1809,52,22,65,9,148,559,539,17,25,29,0,446,0,4,0,8,0,0,2,3,5,0,17,1,4,0,0,1,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14818614.34375,16812.2168325989
37,48,029,121203,48029121203,1212.03,Census Tract,G5020,S,7475736,6223,+29.5259958,-098.4004284,"Census Tract 1212.03, Bexar County, Texas",4769,3718,2081,444,83,76,11,1023,1051,1024,56,38,32,0,849,3,5,0,22,1,0,12,1,5,0,25,3,0,0,6,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80513811.2832031,46062.8039664148
38,48,029,121204,48029121204,1212.04,Census Tract,G5020,S,4361208,28785,+29.5294446,-098.4201274,"Census Tract 1212.04, Bexar County, Texas",8569,6850,3528,1815,101,143,19,1244,1719,1638,99,95,49,7,1278,19,14,0,44,0,0,20,1,6,6,74,14,3,3,13,0,0,29,1,6,3,0,0,1,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,47240903.3632812,28558.8605308605
39,48,029,121205,48029121205,1212.05,Census Tract,G5020,S,2937649,37809,+29.5402233,-098.4076217,"Census Tract 1212.05, Bexar County, Texas",3603,2795,1533,566,53,65,8,570,808,776,38,44,14,0,613,7,3,0,28,4,0,8,2,7,8,30,1,3,2,6,3,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32019101.6640625,24848.7667956865
40,48,029,121206,48029121206,1212.06,Census Tract,G5020,S,4131108,44314,+29.5538361,-098.3916070,"Census Tract 1212.06, Bexar County, Texas",7226,5139,3407,424,97,87,11,1113,2087,2032,73,105,36,5,1738,15,6,0,41,2,0,7,0,3,1,52,7,2,1,8,2,0,24,2,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44932031.6601562,28003.9897574741
41,48,029,121300,48029121300,1213,Census Tract,G5020,S,5103060,4086,+29.5196989,-098.3839956,"Census Tract 1213, Bexar County, Texas",6483,5067,3359,709,47,203,10,739,1416,1359,71,66,43,4,1098,11,3,3,32,1,0,15,9,3,0,53,7,2,0,13,3,0,20,3,0,2,1,0,0,0,2,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54958207.8164062,30207.0807661558
42,48,029,121402,48029121402,1214.02,Census Tract,G5020,S,4573411,19180,+29.4932430,-098.3675920,"Census Tract 1214.02, Bexar County, Texas",9534,7172,2943,1594,166,589,32,1848,2362,2271,111,69,59,3,1876,14,32,0,55,5,0,23,11,8,5,86,9,2,0,26,0,0,29,0,11,3,0,0,0,0,5,0,0,0,0,1,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,49420875.6953125,31966.4549253858
43,48,029,121403,48029121403,1214.03,Census Tract,G5020,S,4504203,8119,+29.5033956,-098.3839005,"Census Tract 1214.03, Bexar County, Texas",5419,4360,1797,1256,48,362,18,879,1059,1016,92,49,27,5,768,7,10,0,27,0,0,20,5,5,1,41,8,0,0,8,0,0,18,1,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,48557151.8769531,31817.5846270838
44,48,029,121404,48029121404,1214.04,Census Tract,G5020,S,6661549,390,+29.4788025,-098.3925101,"Census Tract 1214.04, Bexar County, Texas",5145,3944,1499,1219,69,131,5,1021,1201,1149,39,41,15,1,978,10,3,6,30,0,0,13,5,7,1,46,18,4,0,12,2,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,71689103.3515625,36876.1443057202
45,48,029,121501,48029121501,1215.01,Census Tract,G5020,S,6210753,21080,+29.5401425,-098.3496953,"Census Tract 1215.01, Bexar County, Texas",9828,7586,4411,1529,93,549,34,970,2242,2094,118,131,110,3,1595,32,22,2,50,0,0,7,11,10,3,133,14,17,0,32,8,0,33,4,17,5,2,0,1,0,0,0,0,0,0,0,12,1,0,8,0,1,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,67061121.6328125,35422.3805046091
46,48,029,121504,48029121504,1215.04,Census Tract,G5020,S,3893704,0,+29.5296986,-098.3625187,"Census Tract 1215.04, Bexar County, Texas",8233,6500,3520,1388,77,416,30,1069,1733,1651,109,64,70,2,1309,20,16,0,32,1,0,16,8,2,2,72,12,3,1,12,7,0,29,1,7,0,0,0,0,0,0,0,0,0,0,0,10,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41900342.7128906,32689.4278667663
47,48,029,121505,48029121505,1215.05,Census Tract,G5020,S,3230778,97780,+29.5231183,-098.3287891,"Census Tract 1215.05, Bexar County, Texas",5372,4112,2502,578,59,148,38,787,1260,1195,75,71,55,2,919,1,6,0,34,0,0,12,15,5,0,65,7,2,5,17,0,2,20,1,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35818759.0546875,26058.6684328208
48,48,029,121506,48029121506,1215.06,Census Tract,G5020,S,2584971,16549,+29.5140381,-098.3453004,"Census Tract 1215.06, Bexar County, Texas",5795,4610,2539,905,92,109,10,955,1185,1134,74,47,33,3,929,5,3,3,19,1,0,14,2,1,0,39,10,1,0,12,0,0,13,0,0,1,0,0,0,0,0,0,1,1,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27995025.3183594,26561.5006495941
49,48,029,121507,48029121507,1215.07,Census Tract,G5020,S,2659634,10404,+29.5133523,-098.3577773,"Census Tract 1215.07, Bexar County, Texas",5413,4087,2249,847,59,125,14,793,1326,1270,59,79,38,4,1017,11,5,4,32,0,0,12,0,8,1,48,8,1,0,7,0,2,23,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,28732325.140625,23512.273457122
50,48,029,121508,48029121508,1215.08,Census Tract,G5020,S,2233145,0,+29.5064099,-098.3583017,"Census Tract 1215.08, Bexar County, Texas",5312,4271,2033,1153,65,97,31,892,1041,993,78,40,13,1,759,10,13,1,44,0,0,21,5,8,0,40,4,1,0,6,6,0,11,0,7,0,0,0,2,1,0,0,2,0,0,0,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24030923.7695312,21127.8190184914
51,48,029,121601,48029121601,1216.01,Census Tract,G5020,S,3695911,21012,+29.5465067,-098.3022240,"Census Tract 1216.01, Bexar County, Texas",4694,3650,2323,493,78,166,13,577,1044,981,95,62,64,4,692,3,12,0,34,0,0,10,3,2,0,58,9,7,0,5,4,1,17,0,8,0,0,0,1,0,3,0,0,2,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,39998043.9296875,37733.2773838504
52,48,029,121604,48029121604,1216.04,Census Tract,G5020,S,4871226,12022,+29.5299609,-098.3136329,"Census Tract 1216.04, Bexar County, Texas",9768,7566,4330,1605,109,354,79,1089,2202,2055,173,134,151,24,1452,14,18,7,38,2,0,18,9,11,4,135,27,10,0,40,7,0,19,9,20,1,0,0,0,0,2,0,0,0,0,0,12,0,0,1,1,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52548878.0136719,28620.6543223331
53,48,029,121605,48029121605,1216.05,Census Tract,G5020,S,2834494,94451,+29.5450746,-098.3301548,"Census Tract 1216.05, Bexar County, Texas",2161,1688,1246,171,20,43,5,203,473,444,12,35,24,0,350,0,6,0,9,0,0,6,0,2,0,27,5,3,0,5,3,0,6,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31518547.1035156,26949.4876548522
54,48,029,121606,48029121606,1216.06,Census Tract,G5020,S,2860427,0,+29.5564710,-098.3365299,"Census Tract 1216.06, Bexar County, Texas",5210,4009,2624,628,37,170,34,516,1201,1158,63,79,66,8,862,4,13,4,29,0,0,19,8,1,2,34,2,0,0,6,2,0,20,1,3,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,30781303.75,25722.9010077167
55,48,029,121701,48029121701,1217.01,Census Tract,G5020,S,3198064,16120,+29.5561412,-098.2899064,"Census Tract 1217.01, Bexar County, Texas",3885,2998,2253,214,43,94,9,385,887,823,45,81,44,11,624,9,0,1,6,0,0,2,0,0,0,52,7,4,1,3,3,0,16,0,8,5,0,0,1,0,0,0,0,3,1,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,34588079.5546875,34852.6871373062
56,48,029,121702,48029121702,1217.02,Census Tract,G5020,S,6156899,6815,+29.5691658,-098.3147824,"Census Tract 1217.02, Bexar County, Texas",7093,5665,4126,610,69,264,40,556,1428,1383,74,122,87,14,1032,4,12,1,24,1,0,1,5,4,2,43,3,7,0,16,0,0,14,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66328361.9609375,35796.2730565445
57,48,029,121802,48029121802,1218.02,Census Tract,G5020,S,8697876,58098,+29.5715750,-098.3539705,"Census Tract 1218.02, Bexar County, Texas",10663,8040,4725,1144,160,466,34,1511,2623,2484,156,127,85,8,1982,15,9,1,48,0,0,38,12,3,0,127,13,10,0,30,3,0,42,12,12,0,0,0,5,0,0,0,0,0,0,0,12,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94223913.3886719,39137.4079720174
