OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,ShapeSTArea,ShapeSTLength
328,48,029,191004,48029191004,1910.04,Census Tract,G5020,S,1652388,0,+29.4961477,-098.5066123,"Census Tract 1910.04, Bexar County, Texas",3688,2646,1312,225,75,22,0,1012,1042,1011,17,41,2,1,921,2,0,2,11,0,0,4,3,7,0,24,0,0,0,2,0,1,11,1,9,0,0,0,0,0,0,0,0,0,0,0,7,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17781343.0253906,19515.1137968784
329,48,029,191005,48029191005,1910.05,Census Tract,G5020,S,872918,0,+29.4853883,-098.5040057,"Census Tract 1910.05, Bexar County, Texas",2123,1473,875,13,29,4,0,552,650,643,1,9,6,0,609,3,0,0,3,0,0,2,2,7,1,6,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9393440.30078125,14160.3738340889
330,48,029,191006,48029191006,1910.06,Census Tract,G5020,S,2227971,0,+29.4864927,-098.5168106,"Census Tract 1910.06, Bexar County, Texas",6311,4123,2197,63,125,12,8,1718,2188,2144,2,40,8,2,2051,3,1,0,6,0,0,22,2,6,1,37,11,0,0,10,3,0,10,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,23975189.7050781,19874.9208196963
331,48,029,191101,48029191101,1911.01,Census Tract,G5020,S,4050309,3969,+29.5289945,-098.5241360,"Census Tract 1911.01, Bexar County, Texas",1788,1299,1135,22,4,37,0,101,489,473,9,28,11,1,419,0,1,0,1,0,0,2,0,1,0,13,0,0,0,2,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43628258.9589844,29124.9297508298
332,48,029,191102,48029191102,1911.02,Census Tract,G5020,S,2344796,0,+29.5138141,-098.5143152,"Census Tract 1911.02, Bexar County, Texas",2190,1529,1200,43,13,41,2,230,661,638,3,21,16,0,585,1,0,2,6,0,0,2,1,1,0,21,0,1,0,4,0,1,8,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,25232417.8828125,21959.7249248614
333,48,029,191201,48029191201,1912.01,Census Tract,G5020,S,1655852,0,+29.5409820,-098.5005922,"Census Tract 1912.01, Bexar County, Texas",3143,2203,1734,88,35,52,7,287,940,895,22,28,20,3,804,1,1,0,3,1,0,2,1,4,5,39,3,1,0,10,0,0,17,0,4,0,0,0,4,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17818727.9199219,18705.7832631077
334,48,029,191202,48029191202,1912.02,Census Tract,G5020,S,3061606,0,+29.5326602,-098.5075961,"Census Tract 1912.02, Bexar County, Texas",4982,3536,2436,357,55,99,13,576,1446,1397,43,57,28,0,1223,0,2,0,20,0,0,10,3,10,1,49,8,1,0,4,0,0,29,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32946102.8066406,26550.9171015834
335,48,029,191303,48029191303,1913.03,Census Tract,G5020,S,2327414,1287,+29.5541485,-098.4847276,"Census Tract 1913.03, Bexar County, Texas",1624,1257,988,41,17,43,8,160,367,353,14,17,13,1,299,0,0,0,3,2,0,4,0,0,0,10,0,1,2,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25059324.4101562,21075.377000252
336,48,029,191304,48029191304,1913.04,Census Tract,G5020,S,2834997,0,+29.5288471,-098.4901594,"Census Tract 1913.04, Bexar County, Texas",2840,2160,896,139,51,63,0,1011,680,657,7,18,11,0,601,0,2,3,6,0,0,8,0,1,0,18,7,0,0,3,0,0,2,1,0,0,0,2,2,0,1,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30507558.7832031,23561.9966280855
337,48,029,191405,48029191405,1914.05,Census Tract,G5020,S,8811740,6057,+29.5758462,-098.5386156,"Census Tract 1914.05, Bexar County, Texas",8293,6386,5182,356,76,248,8,516,1907,1826,53,97,98,6,1515,2,8,0,23,0,2,13,0,9,0,78,0,0,0,1,4,0,52,4,15,0,0,0,1,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94889287.1542969,60881.084480483
