AK,02,00510,Matanuska-Susitna Borough School District,106532,21121,2232
AK,02,00540,Nenana City School District,363,68,13
AK,02,00570,Nome School District,3757,769,115
AK,02,00610,North Slope Borough School District,9782,1797,262
AK,02,00625,Northwest Arctic Borough School District,7684,1910,575
AK,02,00630,Pelican City School District,84,12,3
AK,02,00660,Petersburg Borough School District,3281,506,45
AK,02,00670,Pribilof School District,602,89,7
AK,02,00240,Sitka School District,8689,1464,114
AK,02,00690,Skagway School District,1157,108,10
AK,02,00700,Southeast Island School District,1902,276,26
AK,02,00710,Southwest Region School District,2564,602,209
AK,02,00680,St. Marys City School District,558,147,55
AK,02,00715,Tanana City School District,236,48,7
AK,02,00720,Unalaska City School District,4535,379,13
AK,02,00780,Valdez City School District,3829,651,37
AK,02,00810,Wrangell School District,2521,371,59
AK,02,00840,Yakutat School District,605,76,25
AK,02,00775,Yukon Flats School District,1382,265,72
AK,02,00862,Yukon-Koyukuk School District,1918,376,117
AK,02,00004,Yupiit School District,1430,365,161
AZ,04,00450,Agua Fria Union High School District,136239,8042,868
AZ,04,00480,Aguila Elementary District,1330,211,69
AZ,04,00520,Ajo Unified District,3447,418,93
AZ,04,00600,Alhambra Elementary District,95329,15628,5991
AZ,04,00630,Alpine Elementary District,464,45,13
AZ,04,04770,Altar Valley Elementary District,7581,1324,355
AZ,04,00680,Amphitheater Unified District,142110,18788,3264
AZ,04,00720,Antelope Union High School District,6760,351,72
AZ,04,00750,Apache Elementary District,158,22,8
AZ,04,00790,Apache Junction Unified District,65168,7589,1335
AZ,04,00840,Arlington Elementary District,1647,266,59
AZ,04,00870,Ash Creek Elementary District,669,47,11
AZ,04,00910,Ash Fork Joint Unified District,1954,262,69
AZ,04,00960,Avondale Elementary District,50388,7690,1528
AZ,04,01000,Bagdad Unified School District,2317,453,51
AZ,04,01050,Balsz Elementary District,32761,3787,1242
AZ,04,01080,Beaver Creek Elementary District,5199,737,85
AZ,04,00212,Benson Unified School District,7787,1111,290
AZ,04,01160,Bicentennial Union High School District,10981,305,45
AZ,04,01180,Bisbee Unified District,6723,766,201
AZ,04,01230,Blue Elementary District,43,0,0
AZ,04,06580,Blue Ridge Unified District,14426,2457,576
AZ,04,01260,Bonita Elementary District,1205,53,8
AZ,04,01290,Bouse Elementary District,1189,45,8
AZ,04,01330,Bowie Unified District,573,79,10
AZ,04,01380,Buckeye Elementary District,42489,6055,1036
AZ,04,01410,Buckeye Union High School District,74245,4444,559
AZ,04,01500,Bullhead City School District,41552,3483,1085
