"LEA_STATE","LEA_STATE_NAME","LEAID","LEA_NAME","LEA_ADDRESS","LEA_CITY","LEA_ZIP","CJJ","LEA_HSE_IND","LEA_HSEPART_HI_M","LEA_HSEPART_HI_F","LEA_HSEPART_AM_M","LEA_HSEPART_AM_F","LEA_HSEPART_AS_M","LEA_HSEPART_AS_F","LEA_HSEPART_HP_M","LEA_HSEPART_HP_F","LEA_HSEPART_BL_M","LEA_HSEPART_BL_F","LEA_HSEPART_WH_M","LEA_HSEPART_WH_F","LEA_HSEPART_TR_M","LEA_HSEPART_TR_F","TOT_HSEPART_M","TOT_HSEPART_F","LEA_HSEPART_LEP_M","LEA_HSEPART_LEP_F","LEA_HSEPART_IDEA_M","LEA_HSEPART_IDEA_F"
"AL","ALABAMA","0100194","Pelham City","3113 Cummings Street","Pelham","35124","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100195","Pike Road City","500 Avenue of Learning","Pike Road","36064","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100198","Sequel TSI School of Montgomery","135 Mildred St","Montgomery","36104","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100210","Auburn City","PO Box 3270","Auburn","36831","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100240","Autauga County","153 W 4th St","Prattville","36067","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100270","Baldwin County","2600A North Hand Ave","Bay Minette","36507","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100330","Bessemer City","PO Box 1230","Bessemer","35021","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100360","Bibb County","721 Walnut Street","Centreville","35042","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100390","Birmingham City","PO Box 10007","Birmingham","35202","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100420","Blount County","PO Box 578","Oneonta","35121","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100450","Brewton City","811 Belleville Ave","Brewton","36426","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100480","Bullock County","PO Box 231","Union Springs","36089","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100510","Butler County","211 School Highlands Rd","Greenville","36037","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100540","Calhoun County","PO Box 2084","Anniston","36202","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100600","Chambers County","Box 408","Lafayette","36862","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100630","Cherokee County","130 E Main St","Centre","35960","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100660","Chilton County","1705 Lay Dam Rd","Clanton","35045","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100690","Choctaw County Board of Education","107 Tom Orr Dr.","Butler","36904","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100720","Clarke County","Box 936","Grove Hill","36451","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100750","Clay County","PO Box 278","Ashland","36251","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100780","Cleburne County","PO Box 8","Heflin","36264","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100810","Coffee County","400 Reddoch Hill Rd","Elba","36323","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100840","Colbert County","P O Box 538","Tuscumbia","35674","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100870","Conecuh County","1455 Ted Bates Road","Evergreen","36401","No","Yes",0,0,0,0,0,0,0,0,4,1,1,1,0,0,5,2,0,0,2,0
"AL","ALABAMA","0100900","Coosa County","PO Box 37","Rockford","35136","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"AL","ALABAMA","0100930","Covington County","807 C C Baker Ave","Andalusia","36421","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
